WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W1,Frank Wright,"skill1,skill6","[1, 3, 2]",3,GroupA,Junior
W2,Henry Clark,"skill4,skill5","[2, 3]",1,GroupC,Mid
W3,Jane Smith,"skill2,skill6",[3],2,GroupC,Mid
W4,Jane Smith,"skill5,skill4",[3],2,GroupC,Mid
W5,Jane Smith,"skill1,skill2","[2, 3, 1]",3,GroupB,Senior
W6,Eve Adams,"skill6,skill4","[2, 3, 1]",1,GroupD,Junior
W7,Grace Lee,"skill4,skill6",[1],1,GroupB,Mid
W8,Isla Lewis,"skill3,skill2","[3, 1, 2]",3,GroupD,Junior
W9,Charlie Davis,"skill3,skill4","[3, 2, 1]",3,GroupD,Mid
W10,Frank Wright,"skill5,skill1",[1],3,GroupC,Junior
W11,Alice Brown,"skill2,skill6","[1, 3]",1,GroupA,Mid
W12,Jane Smith,"skill3,skill7","[1, 3]",3,GroupB,Mid
W13,Bob Johnson,"skill6,skill7","[3, 2, 1]",1,GroupC,Junior
W14,Eve Adams,"skill4,skill5","[2, 3]",1,GroupA,Senior
W15,Henry Clark,"skill5,skill6","[1, 2, 3]",3,GroupA,Senior
W16,Eve Adams,"skill2,skill4","[1, 3]",3,GroupD,Junior
W17,Isla Lewis,"skill1,skill5",[1],3,GroupC,Junior
W18,Eve Adams,"skill1,skill6","[2, 1]",2,GroupB,Mid
W19,Charlie Davis,"skill5,skill7","[3, 2, 1]",1,GroupD,Senior
W20,Charlie Davis,"skill2,skill4","[2, 3]",2,GroupD,Mid
W21,Alice Brown,"skill4,skill3","[3, 1]",1,GroupC,Senior
W22,Charlie Davis,"skill7,skill1","[1, 2, 3]",2,GroupD,Mid
W23,Isla Lewis,"skill6,skill4","[3, 2, 1]",2,GroupA,Junior
W24,Grace Lee,"skill7,skill3",[1],2,GroupB,Mid
W25,Grace Lee,"skill1,skill7","[2, 1, 3]",3,GroupC,Mid
W26,Isla Lewis,"skill2,skill1","[1, 3, 2]",3,GroupB,Mid
W27,Frank Wright,"skill4,skill3","[3, 2]",1,GroupD,Senior
W28,Isla Lewis,"skill3,skill4",[2],1,GroupD,Mid
W29,Frank Wright,"skill6,skill5","[3, 1, 2]",2,GroupD,Junior
W30,Bob Johnson,"skill1,skill7","[3, 1, 2]",1,GroupA,Senior
W31,Charlie Davis,"skill3,skill1","[1, 3, 2]",1,GroupD,Junior
W32,Frank Wright,"skill6,skill3",[3],2,GroupA,Senior
W33,Alice Brown,"skill7,skill4","[1, 2]",2,GroupB,Junior
W34,John Doe,"skill1,skill6","[2, 3, 1]",2,GroupC,Senior
